suite,case_id,status,use,hours,methane_kg,available_dc_kwh,curtailment_kwh,service_bus_kwh,audit_passed,path
primary,250c25fd38d177c9f0df,complete,comparison,48,290.0,14256.0,1779.8048242901648,0,True,experiments/primary/cases/250c25fd38d177c9f0df/summary.json
primary,c544781efecf1cb27eef,complete,comparison,48,290.0,14256.0,1777.403399094933,2.4000000000000004,True,experiments/primary/cases/c544781efecf1cb27eef/summary.json
primary,7cb78284443356c2e382,complete,retained setup error,48,290.0,14356.458,1967.1339572884322,4.583333333333332,True,experiments/primary/cases/7cb78284443356c2e382/summary.json
primary,435ed6c152a0993bbd83,complete,comparison,48,290.0,12960.000000000004,475.9258445452303,0,True,experiments/primary/cases/435ed6c152a0993bbd83/summary.json
primary,5916bd0f263edd728915,complete,comparison,48,290.0,14089.320000000002,1651.975957288432,4.344444444444445,True,experiments/primary/cases/5916bd0f263edd728915/summary.json
primary,62e2a2972c55180491de,complete,retained setup error,48,290.0,13964.58,1484.3770164812217,4.583333333333332,True,experiments/primary/cases/62e2a2972c55180491de/summary.json
primary,4c4b9b78255c3042c81a,complete,comparison,48,290.0,47520.0,35038.03874014791,0,True,experiments/primary/cases/4c4b9b78255c3042c81a/summary.json
primary,5080cb90e45d2e10f157,complete,comparison,48,290.0,47520.0,35035.63874014791,2.4000000000000004,True,experiments/primary/cases/5080cb90e45d2e10f157/summary.json
primary,928b52a2b634e257cf6e,complete,retained setup error,48,290.0,47854.86,35368.315406814574,4.583333333333332,True,experiments/primary/cases/928b52a2b634e257cf6e/summary.json
primary,ff5674a861e4af372b73,complete,comparison,48,290.0,43200.0,30718.038740147906,0,True,experiments/primary/cases/ff5674a861e4af372b73/summary.json
primary,a54b86954764624a25d2,complete,comparison,48,290.0,46964.4,34478.094295703464,4.344444444444445,True,experiments/primary/cases/a54b86954764624a25d2/summary.json
primary,7e8c020031b4815951c4,complete,retained setup error,48,290.0,46548.6,34062.05540681457,4.583333333333332,True,experiments/primary/cases/7e8c020031b4815951c4/summary.json
primary,2ae3f9a750cc785fd467,complete,comparison,48,290.0,31200.0,18797.402199177162,0,True,experiments/primary/cases/2ae3f9a750cc785fd467/summary.json
primary,9161d8e1f0a52fb9a616,complete,comparison,48,290.0,31200.0,18757.402199177162,0.0,True,experiments/primary/cases/9161d8e1f0a52fb9a616/summary.json
primary,1bc9a6a5f78b8362abba,complete,comparison,48,290.0,31200.0,18677.738740147906,0.30000000000000004,True,experiments/primary/cases/1bc9a6a5f78b8362abba/summary.json
primary,03e2bf0150c1a8e26d77,complete,comparison,48,290.0,31200.0,18715.088740147905,2.9500000000000006,True,experiments/primary/cases/03e2bf0150c1a8e26d77/summary.json
primary,70486333326b348697e3,complete,comparison,48,290.0,31200.0,18797.402199177162,0,True,experiments/primary/cases/70486333326b348697e3/summary.json
primary,2c07fd56fdc0717d13c1,complete,comparison,48,290.0,31200.0,18757.402199177162,0.0,True,experiments/primary/cases/2c07fd56fdc0717d13c1/summary.json
primary,52c778cc6b3e683fc836,complete,comparison,48,290.0,31200.0,18757.152199177162,0.25,True,experiments/primary/cases/52c778cc6b3e683fc836/summary.json
primary,557c2eb2717b5d8bf313,complete,comparison,48,290.0,31200.0,18754.50219917716,2.900000000000001,True,experiments/primary/cases/557c2eb2717b5d8bf313/summary.json
primary,c647ac5b60e1a63e05ba,complete,comparison,48,290.0,31200.0,18797.402199177162,0,True,experiments/primary/cases/c647ac5b60e1a63e05ba/summary.json
primary,592f3ff468552f4295ca,complete,comparison,48,290.0,31200.0,18757.402199177162,0.0,True,experiments/primary/cases/592f3ff468552f4295ca/summary.json
primary,73cc9feae47226cbcec7,complete,comparison,48,290.0,31200.0,18757.152199177162,0.25,True,experiments/primary/cases/73cc9feae47226cbcec7/summary.json
primary,f0bc647881d767890203,complete,comparison,48,290.0,31200.0,18754.50219917716,2.900000000000001,True,experiments/primary/cases/f0bc647881d767890203/summary.json
primary,d0f946c6c15e3dce62e2,complete,comparison,48,290.0,31200.0,18797.402199177162,0,True,experiments/primary/cases/d0f946c6c15e3dce62e2/summary.json
primary,3e3e67012f354aade1e1,complete,comparison,48,290.0,31200.0,18797.402199177162,0,True,experiments/primary/cases/3e3e67012f354aade1e1/summary.json
primary,02c7f395d54952fb5a30,complete,comparison,48,290.0,31200.0,18677.738740147906,0.30000000000000004,True,experiments/primary/cases/02c7f395d54952fb5a30/summary.json
primary,d18b6987a3035e5d743f,complete,comparison,48,290.0,31200.0,18715.088740147905,2.9500000000000006,True,experiments/primary/cases/d18b6987a3035e5d743f/summary.json
primary,db2f260ecb8f99f0c0d3,complete,comparison,48,290.0,14256.0,1777.3403496007684,0,True,experiments/primary/cases/db2f260ecb8f99f0c0d3/summary.json
primary,e04f83b86a2ca128f4e2,complete,comparison,48,290.0,14256.0,1774.939367337724,2.4000000000000004,True,experiments/primary/cases/e04f83b86a2ca128f4e2/summary.json
primary,308174ecdacdf04128fb,complete,retained setup error,48,290.0,14357.304,1967.1606239550986,4.999999999999998,True,experiments/primary/cases/308174ecdacdf04128fb/summary.json
primary,a517203c8f6d4a8bb3a5,complete,comparison,48,290.0,12960.000000000004,475.87503801233197,0,True,experiments/primary/cases/a517203c8f6d4a8bb3a5/summary.json
primary,497d48eb367f3131e913,complete,comparison,48,290.0,14089.320000000002,1651.975957288432,4.344444444444445,True,experiments/primary/cases/497d48eb367f3131e913/summary.json
primary,b1529ecc3b9a222077dc,complete,retained setup error,48,290.0,13973.04,1483.9150380123292,4.999999999999998,True,experiments/primary/cases/b1529ecc3b9a222077dc/summary.json
primary,9b54bc158f0794e23a26,complete,comparison,48,290.0,47520.0,35038.03874014791,0,True,experiments/primary/cases/9b54bc158f0794e23a26/summary.json
primary,168577917fbc132007b4,complete,comparison,48,290.0,47520.0,35035.63874014791,2.4000000000000004,True,experiments/primary/cases/168577917fbc132007b4/summary.json
primary,9847001dd387bc0b8374,complete,retained setup error,48,290.0,47857.68,35370.7187401479,4.999999999999998,True,experiments/primary/cases/9847001dd387bc0b8374/summary.json
primary,7d7a5c7ecf3b15acbb28,complete,comparison,48,290.0,43200.0,30718.038740147906,0,True,experiments/primary/cases/7d7a5c7ecf3b15acbb28/summary.json
primary,e583732963ec6cac7f6a,complete,comparison,48,290.0,46964.4,34478.094295703464,4.344444444444445,True,experiments/primary/cases/e583732963ec6cac7f6a/summary.json
primary,8aefc50830c37cd89538,complete,retained setup error,48,290.0,46576.8,34089.838740147905,4.999999999999998,True,experiments/primary/cases/8aefc50830c37cd89538/summary.json
primary,9730bc3a7e317593c8a2,complete,comparison,48,290.0,31200.0,18793.949127960226,0,True,experiments/primary/cases/9730bc3a7e317593c8a2/summary.json
primary,9ee461273bc40d68c875,complete,comparison,48,290.0,31200.0,18718.038740147906,0.0,True,experiments/primary/cases/9ee461273bc40d68c875/summary.json
primary,ac989eb1da412486c4e8,complete,comparison,48,290.0,31200.0,18677.738740147906,0.30000000000000004,True,experiments/primary/cases/ac989eb1da412486c4e8/summary.json
primary,5aa65dc313b029837dae,complete,comparison,48,290.0,31200.0,18731.766216291526,2.9500000000000006,True,experiments/primary/cases/5aa65dc313b029837dae/summary.json
primary,05f8491b846e227093e7,complete,comparison,48,290.0,31200.0,18793.949127960226,0,True,experiments/primary/cases/05f8491b846e227093e7/summary.json
primary,c5734e4738962e4f6a27,complete,comparison,48,290.0,31200.0,18718.038740147906,0.0,True,experiments/primary/cases/c5734e4738962e4f6a27/summary.json
primary,1923cf87c757ce0b846f,complete,comparison,48,290.0,31200.0,18717.788740147906,0.25,True,experiments/primary/cases/1923cf87c757ce0b846f/summary.json
primary,fc41d960c555ca480f12,complete,comparison,48,290.0,31200.0,18715.138740147904,2.900000000000001,True,experiments/primary/cases/fc41d960c555ca480f12/summary.json
primary,d1d8560cc679a3c9889e,complete,comparison,48,290.0,31200.0,18793.949127960226,0,True,experiments/primary/cases/d1d8560cc679a3c9889e/summary.json
primary,06d39ab5d27e5a6d304c,complete,comparison,48,290.0,31200.0,18718.038740147906,0.0,True,experiments/primary/cases/06d39ab5d27e5a6d304c/summary.json
primary,563472f1af7347ede5f9,complete,comparison,48,290.0,31200.0,18717.788740147906,0.25,True,experiments/primary/cases/563472f1af7347ede5f9/summary.json
primary,175caa75070ceab18553,complete,comparison,48,290.0,31200.0,18715.138740147904,2.900000000000001,True,experiments/primary/cases/175caa75070ceab18553/summary.json
primary,9cae592690eaef79bca7,complete,comparison,48,290.0,31200.0,18793.949127960226,0,True,experiments/primary/cases/9cae592690eaef79bca7/summary.json
primary,67b61e71f16fda151f73,complete,comparison,48,290.0,31200.0,18793.949127960226,0,True,experiments/primary/cases/67b61e71f16fda151f73/summary.json
primary,66ec04deb82f5bf9cd64,complete,comparison,48,290.0,31200.0,18677.738740147906,0.30000000000000004,True,experiments/primary/cases/66ec04deb82f5bf9cd64/summary.json
primary,2410022932d8fbe6dd3a,complete,comparison,48,290.0,31200.0,18731.766216291526,2.9500000000000006,True,experiments/primary/cases/2410022932d8fbe6dd3a/summary.json
primary,e4f2a0fcf353e87062a5,complete,comparison,48,290.0,14256.0,1771.8750380123251,0,True,experiments/primary/cases/e4f2a0fcf353e87062a5/summary.json
primary,078e844b85dbdb333dc1,complete,comparison,48,290.0,14256.0,1769.475038012328,2.4000000000000004,True,experiments/primary/cases/078e844b85dbdb333dc1/summary.json
primary,71d7af4246f428816d88,complete,retained setup error,48,290.0,14346.648000000001,1857.9397046789945,4.583333333333332,True,experiments/primary/cases/71d7af4246f428816d88/summary.json
primary,7861e82e28b2a70c64a1,complete,comparison,48,290.0,12960.000000000004,492.8184661268095,0,True,experiments/primary/cases/7861e82e28b2a70c64a1/summary.json
primary,11e7fadcf99d66948ec1,complete,comparison,48,290.0,14089.320000000002,1719.6977546640667,4.344444444444445,True,experiments/primary/cases/11e7fadcf99d66948ec1/summary.json
primary,becf83d84d02a1a0b4b5,complete,retained setup error,48,290.0,13866.48,1377.889388790879,4.583333333333332,True,experiments/primary/cases/becf83d84d02a1a0b4b5/summary.json
primary,133b79aa80e907f7206c,complete,comparison,48,290.0,47520.0,35038.03874014791,0,True,experiments/primary/cases/133b79aa80e907f7206c/summary.json
primary,bc39fcb1fe8eb6dd27cd,complete,comparison,48,290.0,47520.0,35035.63874014791,2.4000000000000004,True,experiments/primary/cases/bc39fcb1fe8eb6dd27cd/summary.json
primary,e5f1ce4e84dea86556dd,complete,retained setup error,48,290.0,47822.159999999996,35335.61540681457,4.583333333333332,True,experiments/primary/cases/e5f1ce4e84dea86556dd/summary.json
primary,ad0e57180da53a1ffeb2,complete,comparison,48,290.0,43200.0,30718.038740147906,0,True,experiments/primary/cases/ad0e57180da53a1ffeb2/summary.json
primary,580ff708ec3a2b573054,complete,comparison,48,290.0,46964.4,34478.094295703464,4.344444444444445,True,experiments/primary/cases/580ff708ec3a2b573054/summary.json
primary,b41cdb9dbad1899a60fa,complete,retained setup error,48,290.0,46221.6,33735.05540681457,4.583333333333332,True,experiments/primary/cases/b41cdb9dbad1899a60fa/summary.json
primary,e7a4d8e01e967e875dab,complete,comparison,48,290.0,31200.0,18793.053487147467,0,True,experiments/primary/cases/e7a4d8e01e967e875dab/summary.json
primary,2a711e7d0a6a70c59e10,complete,comparison,48,290.0,31200.0,18718.038740147906,0.0,True,experiments/primary/cases/2a711e7d0a6a70c59e10/summary.json
primary,328c7aa89b97e5b625ee,complete,comparison,48,290.0,31200.0,18677.738740147906,0.30000000000000004,True,experiments/primary/cases/328c7aa89b97e5b625ee/summary.json
primary,34746a818407f0af6268,complete,comparison,48,290.0,31200.0,18715.08874014791,2.9500000000000006,True,experiments/primary/cases/34746a818407f0af6268/summary.json
primary,57ed3c059748cf1a3a9c,complete,comparison,48,290.0,31200.0,18793.053487147467,0,True,experiments/primary/cases/57ed3c059748cf1a3a9c/summary.json
primary,514a18c3c04ae1bc49eb,complete,comparison,48,290.0,31200.0,18718.038740147906,0.0,True,experiments/primary/cases/514a18c3c04ae1bc49eb/summary.json
primary,49d22f30dd67223d893f,complete,comparison,48,290.0,31200.0,18717.788740147906,0.25,True,experiments/primary/cases/49d22f30dd67223d893f/summary.json
primary,5a7b2bcdb41a76e592f7,complete,comparison,48,290.0,31200.0,18715.138740147908,2.900000000000001,True,experiments/primary/cases/5a7b2bcdb41a76e592f7/summary.json
primary,bb069e19e52c65f40063,complete,comparison,48,290.0,31200.0,18793.053487147467,0,True,experiments/primary/cases/bb069e19e52c65f40063/summary.json
