segment,split,n,start,end,power_command,stack_power,smps_power,subsystem_power,chiller_power,hydrogen_flow,hydrogen_flow_cs,system_power
4,training,840,2025-11-05 13:46:12,2025-11-05 14:00:11,51.22000000000002,51.90665476190477,55.94427323549999,2.3000000000000007,17.145948038571426,0.7725399435140775,0.8900000000000001,75.39022127407142
4,holdout,840,2025-11-05 14:00:12,2025-11-05 14:14:11,51.22000000000002,51.27832142857144,55.29239064891666,2.3000000000000007,17.431256101607143,0.7731923462394047,0.8887500000000003,75.02364675052381
5,training,841,2025-11-05 14:16:12,2025-11-05 14:30:12,46.08,46.24112960760998,50.04891689267539,2.3000000000000003,17.52026978372176,0.722101658028042,0.8200000000000002,69.86918667639713
5,holdout,841,2025-11-05 14:30:13,2025-11-05 14:44:13,46.08,46.266777645659914,50.07598480560048,2.3000000000000003,17.573193961070157,0.6949182325944313,0.8171581450653984,69.94917876667064
6,training,823,2025-11-05 14:46:14,2025-11-05 14:59:56,40.94999999999999,40.95245443499392,44.34742913111786,2.3000000000000007,17.483586125431348,0.6179526158118064,0.74,64.1310152565492
6,holdout,823,2025-11-05 14:59:57,2025-11-05 15:13:39,40.94999999999999,40.95647630619684,44.35189303164034,2.3000000000000007,17.453596277314702,0.6183746234772175,0.74,64.10548930895504
7,training,840,2025-11-05 15:15:40,2025-11-05 15:29:39,35.959999999999994,35.78033333333334,39.01286385135714,2.3000000000000007,17.41519344375,0.5288404590244742,0.6600000000000001,58.72805729510713
7,holdout,841,2025-11-05 15:29:40,2025-11-05 15:43:40,35.959999999999994,35.78219976218787,39.01486452504161,2.3000000000000003,17.387519120761002,0.5648483704492133,0.6599999999999999,58.702383645802605
8,training,855,2025-11-05 15:45:41,2025-11-05 15:59:55,30.733999999999998,30.625578947368425,33.494830111157896,2.3000000000000007,17.31354403736842,0.45079721456220473,0.58,53.108374148526316
8,holdout,856,2025-11-05 15:59:56,2025-11-05 16:14:11,30.734,30.6303738317757,33.499937702733654,2.3000000000000003,17.317806028808413,0.4522460888799591,0.5796845794392523,53.117743731542056
9,training,840,2025-11-05 16:16:12,2025-11-05 16:30:11,25.606,25.524857142857144,28.01779487646429,2.3000000000000007,17.24379313125,0.3694697549736924,0.49000000000000016,47.56158800771428
9,holdout,840,2025-11-05 16:30:12,2025-11-05 16:44:11,25.606,25.52478571428571,28.017732420142863,2.3000000000000007,17.20040436642857,0.3657523505598459,0.4877500000000002,47.518136786571425
10,training,840,2025-11-05 16:46:12,2025-11-05 17:00:11,20.470000000000002,20.46040476190476,22.595513618619044,2.3000000000000007,17.11578158357143,0.29287416552656903,0.4,42.01129520219048
10,holdout,840,2025-11-05 17:00:12,2025-11-05 17:14:11,20.470000000000002,20.449523809523807,22.583922123595233,2.3000000000000007,17.085027470357144,0.28660476966330556,0.4,41.96894959395239
11,training,874,2025-11-05 17:16:12,2025-11-05 17:30:45,15.232,15.391647597254005,17.23657044883295,2.3000000000000003,16.999284506052636,0.19307563423702076,0.31000000000000005,36.535854954885586
11,holdout,875,2025-11-05 17:30:46,2025-11-05 17:45:20,15.232,15.311759999999996,17.154509071371425,2.3000000000000007,16.968835688228573,0.18953006287078802,0.3089371428571429,36.423344759600006
