case,profile,seed,strategy,run_id,status,audit_passed,archive,source,methane_kg,curtailed_kwh,reactor_starts,electrolyser_starts,forced_downtime_hours,limited_solves,fallbacks,total_eur,variable_and_wear_eur,assumed_contribution_eur,false_alarms,uncertain_hours,co2_rejected_kg,ending_battery_kwh,ending_h2_kg,ending_co2_kg,ending_temperature_c,ending_electrolyser_on,ending_reactor_on,ending_commitment_hours
19-fast-cooling,fast-cooling,19,Greedy,9ee9adc8182850a9,complete,True,experiments/589fc301d5042622/19-fast-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,253.14397082404295,78.40178002413433,2.0,2.0,0,0,0,687.0251194877096,220.43434538038895,32.709625443654005,0,28,0.0,1.0658141036401503e-14,0.06641872366028645,103.85408023388189,16.83533678582266,False,False,0
19-fast-cooling,fast-cooling,19,MPC · methane,9ee9adc8182850a9,complete,True,experiments/589fc301d5042622/19-fast-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,239.07175974252564,384.9204103247546,3.0,2.0,1,17,0,683.2761819965103,209.67936128371989,29.392398458805758,0,28,0.0,2.49268711093319,-8.881784197001252e-16,142.55266070805442,18.30092504695113,False,False,0
19-fast-cooling,fast-cooling,19,MPC · economics,9ee9adc8182850a9,complete,True,experiments/589fc301d5042622/19-fast-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,222.6334975735916,1016.9152490227052,3.0,2.0,1,8,0,672.4681274160397,163.06609280872948,59.56740476486212,0,29,0.0,21.71374983992789,0.1500833815358506,187.75788167262309,15.464492801564298,False,False,0
19-slow-cooling,slow-cooling,19,Greedy,c7a348977daaf46e,complete,True,experiments/589fc301d5042622/19-slow-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,256.8220656282201,217.97381347251374,2.0,2.0,0,0,0,688.6947796607775,222.4946303194336,34.327435308786505,0,27,0.0,7.771200381359426,2.2839988773684194e-15,93.73931952239458,375.12810312235865,False,False,0
19-slow-cooling,slow-cooling,19,MPC · methane,c7a348977daaf46e,complete,True,experiments/589fc301d5042622/19-slow-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,210.6268449438688,947.4115241525878,5.0,2.0,1,3,1,670.711172737751,197.6290978069256,12.99774713694319,0,27,0.0,1.6342482922482304e-13,12.306001147622194,220.7761764043608,260.1845225253212,False,False,0
19-slow-cooling,slow-cooling,19,MPC · economics,c7a348977daaf46e,complete,True,experiments/589fc301d5042622/19-slow-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,206.09449958176316,1766.2430605861534,2.0,2.0,0,5,0,662.2607938682606,147.97797421246753,58.11652536929563,0,31,0.0,25.298221281347036,0.06690552299568028,233.24012615015133,257.659077358001,False,False,0
41-fast-cooling,fast-cooling,41,Greedy,a6f7d4ded2b3e221,complete,True,experiments/589fc301d5042622/41-fast-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,239.55076950350684,-1.6342482922482304e-13,2.0,2.0,0,0,0,690.0342591841696,235.02467014307362,4.526099360433221,0,27,0.0,0.0,25.06375279122433,141.2353838653562,24.50752438194663,False,False,0
41-fast-cooling,fast-cooling,41,MPC · methane,a6f7d4ded2b3e221,complete,True,experiments/589fc301d5042622/41-fast-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,264.4892683310038,449.03714551911077,2.0,2.0,0,17,0,694.1871904918955,228.18657843935569,36.30268989164813,0,27,0.0,133.58338260787406,-7.283063041541027e-14,72.65451208973943,24.482215340921638,False,False,0
41-fast-cooling,fast-cooling,41,MPC · economics,a6f7d4ded2b3e221,complete,True,experiments/589fc301d5042622/41-fast-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,224.32184839817322,1782.1258156948186,2.0,2.0,0,5,0,672.5575973791578,158.55954149765876,65.76230690051446,0,31,0.0,26.346918248171736,8.881784197001252e-16,183.11491690502368,16.187530446212257,False,False,0
41-slow-cooling,slow-cooling,41,Greedy,fe53fa55d75548f9,complete,True,experiments/589fc301d5042622/41-slow-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,249.99999999999997,5.329070518200751e-15,2.0,2.0,0,0,0,697.9323654246981,242.92277638360213,7.077223616397845,0,27,0.0,1.497641254842014,21.902347645341152,112.5,375.12810312235865,False,False,0
41-slow-cooling,slow-cooling,41,MPC · methane,fe53fa55d75548f9,complete,True,experiments/589fc301d5042622/41-slow-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,253.36531183699108,573.0579920675568,4.0,2.0,0,4,0,693.5385364173459,240.45634463652385,12.908967200467231,0,26,0.0,27.531854183606185,10.706014946078694,103.24539244827444,399.99999999999994,False,True,0
41-slow-cooling,slow-cooling,41,MPC · economics,fe53fa55d75548f9,complete,True,experiments/589fc301d5042622/41-slow-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,214.5029696806166,2387.670011022263,2.0,2.0,0,4,0,667.4184314566442,151.09745319168596,63.40551648893063,0,32,0.0,5.03410826870563,-5.900075446613046e-15,210.1168333783044,291.4514330475118,False,False,0
7-fast-cooling,fast-cooling,7,Greedy,bfbc7da70d9b2659,complete,True,experiments/589fc301d5042622/7-fast-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,229.03902960655117,-1.2789769243681803e-13,2.0,2.0,0,0,0,676.1625031177776,204.64944007663905,24.389589529912115,0,28,0.0,0.0,24.684841451980432,170.1426685819843,19.911077710370193,False,False,0
7-fast-cooling,fast-cooling,7,MPC · methane,bfbc7da70d9b2659,complete,True,experiments/589fc301d5042622/7-fast-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,255.0004138522878,190.50733299648311,3.0,2.0,1,14,0,690.2990052728558,211.94388283201656,43.05653102027125,0,28,0.0,21.636091931185213,5.046372046690733,98.74886190620856,24.482215340921677,False,False,0
7-fast-cooling,fast-cooling,7,MPC · economics,bfbc7da70d9b2659,complete,True,experiments/589fc301d5042622/7-fast-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,232.41123680131116,990.4364613247186,2.0,2.0,0,7,0,676.6045154837802,165.67276775201782,66.73846904929334,0,30,0.0,19.412085441377535,4.211647523175664,160.86909879639424,16.280626130939353,False,False,0
7-slow-cooling,slow-cooling,7,Greedy,9e8a29a60e628a1d,complete,True,experiments/589fc301d5042622/7-slow-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,230.0,114.29489570980351,2.0,2.0,0,0,0,676.5646019960533,204.08860585627167,25.91139414372833,0,28,0.0,4.094653883986686,24.27061894104707,167.5,351.94211054836035,False,False,0
7-slow-cooling,slow-cooling,7,MPC · methane,9e8a29a60e628a1d,complete,True,experiments/589fc301d5042622/7-slow-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,227.1261571274664,715.3907137286036,5.0,2.0,1,2,1,679.1869728708191,202.00759913518755,25.118557992278852,0,27,0.0,39.30757675703755,15.721079831026138,175.40306789946746,332.8981911726458,False,True,1
7-slow-cooling,slow-cooling,7,MPC · economics,9e8a29a60e628a1d,complete,True,experiments/589fc301d5042622/7-slow-cooling/result.json.gz,ee1f3922fd930be1f9799ee556d5a4ffef89b538eb409755db63e9b750d61a56,228.65909107902405,1597.987752322345,2.0,2.0,0,0,0,674.5332114202854,161.3777867602048,67.28130431881925,0,31,0.0,2.5431362085353246,0.0,171.18749953268386,310.20767711875834,False,False,0
19-coupled-stress,coupled-stress,19,Greedy,2b9cbc6c4c6a9146,complete,True,experiments/9af118de5659fdae/19-coupled-stress/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,194.778637384433,471.8703106382887,2.0,2.0,0,0,0,609.4476967258695,172.43297591504864,22.345661469384368,0,28,0.0,0.0,0.0,114.35874719280922,94.26112007634532,False,False,0
